"","condition_FL_vs_ctl","condition_FS_vs_ctl","condition_LL_vs_ctl","condition_LS_vs_ctl","condition_RL_vs_ctl","condition_RS_vs_ctl","condition_SL_vs_ctl","condition_SS_vs_ctl","condition_YS_vs_ctl"
"CAALFM_C303680WA",1.57215893937964,2.71366242236841,2.87472208516883,4.15193619939335,0.914268811558936,2.17396804200696,1.67431116726138,1.83624804316436,0.877955134960629
"CAALFM_C303690WA",2.05848773794602,3.57220988475078,3.41854936964146,2.08371415835336,0.580999782324779,0.14812139532038,0.939155613527704,-0.816740389632683,-0.634976984239205
"CCC1",-1.93554012760726,-1.07755276771177,-2.76173533277184,-2.19681693592148,-2.27534091154819,-1.39653974297238,-2.79064543940127,-2.43122218527867,-1.26384429727585
"GTT11",1.37588224204751,0.405588001515596,1.10277347012173,2.37771133191009,0.133129917244965,0.962741980917087,0.723784419840012,0.134059675841886,0.0376393941776693
"PHB1",0.842446949578443,0.835450645245974,0.86009653686831,2.06130660124591,0.932706473925992,1.28459351496221,1.72409903068579,1.7994276150097,0.681452104938645
"CAALFM_C303740WA",0.049338863617529,0.0471874502678734,0.821858421485111,0.544019439707794,0.579897689291785,0.379880984011914,0.339364125855255,0.215064498086469,-0.216853020945925
"ORC3",-0.159208461366391,0.265534552875142,0.347141726873578,0.227812781443415,0.377713716950678,0.277716353065569,0.193272243612361,0.0461962939686914,0.277351517134525
"CAALFM_C303760WA",1.72471984922765,2.11807826638247,2.3856388408902,4.02340701690889,1.37011153737351,1.48331420478321,2.96827250048265,3.91631039158538,0.221020603718765
"CAALFM_C303770CA",-0.658194675944929,-0.218387596905361,-0.377258154359798,-0.371110692061783,-0.289363054601906,-0.597112949500871,-0.491029249956995,0.259897417836271,-0.0238853204603254
"CAALFM_C303780WA",-0.758566651010859,-0.64864764639694,-0.87971535485127,-0.807589741433307,-0.645534595985142,-0.896449279639943,-0.267356494764543,-0.150742668892697,-0.272558900887666
"MEU1",-0.875577783300393,-0.353852079601856,-1.08295444490217,-1.1948687387843,-0.428516749618026,-0.516210952650081,-0.478300222462397,0.0762187119850237,-0.0541972704915858
"PTR22",-1.51608390731495,0.501153109358991,-1.70555801750669,-0.559866227137887,-1.29608820204403,0.449101712557499,-0.481233541791511,1.32714940338061,0.670286672317851
"RAD53",-1.41817091730243,-0.659029892500148,-1.35727450990146,-1.34260696795026,-0.796034297010845,-0.635565019216717,-1.28888665570157,-1.01407461680272,-0.172313572808076
"CAALFM_C303820CA",-0.497209091892835,-0.203033306585346,-0.410678753757458,-0.759386816829919,-0.332995804576176,-0.554342468410651,-0.315897640205267,-0.173407265751627,-0.220881820110697
"CAALFM_C303830WA",0.121945592294075,-0.0730599302065527,0.435070193736098,0.0347295645353582,0.360064074675212,-0.137549056321921,0.307158131165219,0.0866536380320931,-0.0360048844904874
"CAALFM_C303840CA",-0.555561936315803,-0.0744335324041698,-0.43943492872717,-0.284458970384482,-0.23657333203092,-0.327348489718825,-0.576707646544049,-0.31131297999968,0.179817812833858
"SOL1",-0.377175855316427,-1.13618327984262,-0.682442259179985,-0.925761683073348,-0.299994864267294,-0.588522362686071,-0.775251902146106,-0.996605429953339,-0.600461452949358
"CAALFM_C303860WA",0.0181694027824903,-0.00878425420288759,-0.166153314862673,-0.937474051637594,-0.239780579469494,0.130253898260988,-0.780000757028166,-1.25126454820638,-0.0878911558981666
"SAP9",0.72452578662654,-0.155124446102079,0.322308813514389,1.2947131444679,-0.128294544191825,0.453791138509432,0.822963981205763,0.790818445045024,0.0702361823352938
"PEP8",0.301598781282245,0.313459846453965,0.444686973557546,0.783017111521854,0.125003887995881,0.192771457298629,0.35067570769891,0.00375079306915935,0.102823142720278
"CSC25",-0.247897209401212,-0.0337403703221608,-0.250773973976793,0.807877871156592,0.0544860347122855,-0.0949428044026106,-0.11380802896976,0.226239611777877,-0.0301340323042884
"HTB1",-2.24153556915033,0.024953758941148,-1.31839164685164,0.0826077200426864,-1.08510452999443,0.1148837896868,-2.32425838224511,-0.682183731212275,0.622056245362524
"HTA1",-1.72549117401856,-0.0964786873647171,-0.741590002021226,0.133509248745657,-0.698582871226049,-0.057532724414978,-2.07448038081871,-0.931540393831324,0.581311152822815
"CAALFM_C303920WA",0.0981898945881895,0.473939768719832,0.0381970189320415,1.28091178718032,-0.0967347091573795,0.51550385303439,0.00952996918791718,0.80218556751935,0.31549092037966
"CAALFM_C303930WA",-0.346139449706405,0.101467521983727,-0.590171656660029,0.205003419582843,-0.219009765802914,0.0492831152059277,-0.329874496472986,-0.0711801326020678,0.0992131363495517
"CAALFM_C303980CA",-0.397403945321788,0.0991735096798091,0.40165305263968,0.956475492639586,-0.0780687606413265,-0.086407868137921,0.116483367820617,-0.586603632175504,-0.506203540322821
"AAP1",-0.402330581363309,3.50892779135663,2.03468470810405,3.4507274551313,1.20282179600344,1.8306355547178,0.206926244795792,2.2101142659377,-0.112327741518472
"CTN3",-0.0674575399913347,0.886952031799668,1.34296116592737,6.34857155428098,0.533450702796049,0.672112236389917,6.63421676132642,7.80377937426701,0.11096759164691
"tE(UUC)6",0.463209315958961,0.0768533909216771,0.213026915538275,0.0266248462723384,0.100715397190683,-0.0876939544604676,0.500215608477621,0.670886174499357,-0.112501024548686
"ZCF16",1.67490249662815,1.50432359423845,1.82287281192641,4.59842998271272,1.18572053221338,1.26673492503883,5.68373032975687,5.73408528866023,0.420478791963686
"PEX8",4.25971207063281,4.43048780347654,5.32665161601526,7.00571289025013,4.23476951708927,5.38204328550549,7.6783832528409,7.91753489115659,2.82224118246929
"CAALFM_C304040WA",-1.2778752729602,1.86962762284155,0.466982413990389,1.34863465970304,-0.375981193338212,-0.0449750606506184,1.51832081976309,1.20410795165588,-0.305053191658579
"tA(AGC)2",0.0989141464350287,0.517640971633916,-0.221079582371733,-0.304184082247609,-0.546406779635447,-0.190426901517867,-1.26015067979862,-0.458230714690303,0.366130194906443
"HEM13",2.19637608341974,1.08117240756731,2.01506178186613,2.53327995481981,1.32203546239827,2.27469306152552,2.65542114251175,0.682397844314911,1.68820791587104
"CDR11",2.95669224796959,1.34092009989298,3.9701913043554,4.43295059487562,3.81140456794789,2.28343551688114,4.84340796788037,4.47400268769904,-0.0434692745646805
"CAALFM_C304080WA",-0.161953271434003,-0.218116751339342,-0.519253701435275,-0.110433408031283,-0.256321639096747,0.131356452768567,0.247748713840914,0.485162893701178,0.262238070664047
"SBP1",1.11953664180851,0.756230639828025,1.29482428945194,1.4524699634345,1.03307802011421,1.09891418718375,1.20035505528461,0.992314673892248,0.432620133032394
"CAALFM_C304100WA",1.73788646161033,0.814035296027204,1.81291303916489,1.91341267574106,1.05709652382226,1.38494857353229,1.03416075891514,0.765393656198071,0.195396986019113
"MBP1",-0.0403465792540179,-0.312536322669318,-0.480271332009833,0.401223977043257,-0.13891952771295,-0.0482479629126399,-0.136021343996701,-0.173001620313068,-0.0118470838877427
"CAALFM_C304120CA",-0.0484763093846771,-0.177337024332742,-0.743205659656894,-0.40897733236427,-0.593612636736866,-0.677888680853285,-1.0287749564803,-0.518850840173176,-0.142969072810163
"CAALFM_C304130WA",1.86728409308954,1.22210642052837,2.38191286642334,1.86139833844972,1.54280610203542,1.13092451490662,2.0852273369247,0.695709208901096,1.04783297478273
"EGD2",-0.567410930298874,0.137817556567652,-0.195097273744755,-0.341283052963382,-0.017878793310264,0.157368751057241,-0.383290293752833,0.141933433177606,0.209519271319011
"CAALFM_C304150WA",-0.64001287283098,1.21211885497155,-1.26977462815429,1.14351570248024,-0.621561139160794,0.523177318409128,-1.84630028462854,0.0836319857427595,1.42208269513041
"DAL8",1.40613931227664,0.603493982068247,0.496376727040681,0.64370794678523,-0.141953356193564,-0.0366215855889711,0.0967068935816859,-0.204822060163725,0.125363823112602
"CAALFM_C304170WA",1.52996743264205,-0.30587546184823,0.627911839767503,-0.0676846314687358,0.389724089953443,-0.46938184042353,-0.28546674636355,-1.65158521547317,-0.41672709536446
"KRE9",-0.674110520000784,-1.54343019468041,-1.01444731060887,-2.30517289366969,-0.545176318891008,-1.19924311741273,-0.900101812709993,-1.29937488821604,-0.655009716455122
"CAALFM_C304190WA",1.00557852868248,0.957200689735746,-0.772238414534609,0.929165688069986,-0.581106012421466,0.908217973448329,-0.825756696402297,0.412799193651128,0.210613702016016
"AFP99",2.14448397885418,-0.00496441433788698,-0.390032437457805,-0.0825661225796968,-1.0422662751777,0.336572250250345,-0.523009172953546,1.15433338086462,-0.244612221492354
"CAALFM_C304210WA",1.33040430493706,-0.274345691031661,0.588704446563821,1.66410491765747,-0.718821707105764,0.535170840474321,-0.145785691317144,-0.403627315409546,-0.125615884800757
"URK1",-0.90694525045259,-1.2704198938418,-1.82793101075151,-1.6208643439222,-0.919900523518178,-1.40467040197867,-1.82505662340459,-1.23637145582684,-0.505165022073385
"CAALFM_C304230WA",-0.389256747825436,-1.22872149591464,-1.52400257168288,-1.6610902077573,-0.625821258320627,-0.784015673406209,-1.30678429046094,-0.578026537393077,-0.522933044578349
"WSC1",-0.717427804055286,-1.14359665326398,-1.03070887745141,-1.60165919648744,-0.538197844289638,-1.12081010044969,-0.299077991090813,-0.579531053911131,-0.770967815292842
"CAALFM_C304260WA",0.922268770221177,-0.346449178741155,0.543942268573799,-0.823120985437881,0.0324819948796397,-0.235869729181356,0.554224632154191,-0.310605059044064,-0.27022442212583
"CTP1",0.0554308649963188,2.67718229258501,1.10918615032396,1.93714597426661,0.995109317640125,1.99875363480455,-0.479255254536125,1.32235889102042,0.179469552922491
"SNF5",-0.363814671803076,-0.381434215625157,0.073921491642908,-0.480704031314427,0.278267894409199,-0.179997801378681,0.438813230483709,-0.0851594776968213,0.11628885026797
"POL1",-2.25313319265703,-0.605877731297607,-2.63149213185539,-1.03870771730107,-1.44928784026853,-0.605487249686976,-1.71251377085415,-0.81569498809384,-0.0257908657941345
"CAALFM_C304310CA",0.808942049330693,1.02427432528651,0.391637299627039,0.998117324816654,0.10309872288116,1.31860369028203,0.474178922200347,0.883456246449076,0.283141362746798
"VAM3",0.292605825654387,0.361578432361588,0.330464866478433,0.114820460557999,-0.019713292953439,0.521361536787692,0.245258177064204,-0.119071746746406,0.669715072678803
"CAALFM_C304330CA",0.126980372898635,1.24121950558987,1.13878415402926,1.88873040365359,-0.269840823017241,0.493275146147289,0.941450500628242,1.18436436858823,0.0898551872707045
