"","condition_YL3_vs_ctl"
"CAALFM_C105720WA",-0.461523493523161
"CAALFM_C105730WA",-0.565920635522529
"CAALFM_C105740CA",-1.31195897519281
"CAALFM_C105750CA",-0.286232871159889
"PGA26",4.79334383254778
"PRC3",2.8199714085149
"CAALFM_C105780WA",-0.588841530491222
"CAALFM_C105790WA",0.682845691042566
"CAALFM_C105800CA",-0.159254118007778
"GIM5",0.188299598246791
"RAD10",-0.0437197256182603
"CAALFM_C105830WA",0.123840993147926
"PRN1",-0.415579794890299
"POL32",-1.04336779883508
"PRN2",-0.392544588326207
"PRN3",-0.608075905666067
"PRN4",-0.139285683158363
"CAALFM_C105890WA",0.0170560639135842
"CAALFM_C105900WA",-1.29631108894113
"SIP5",0.568338171930219
"CAALFM_C105920WA",-2.14893513628176
"CAALFM_C105930CA",0.584132983905809
"PHO87",0.18823145494539
"CAALFM_C105950CA",1.23825863973438
"PGA45",2.45770977225333
"CAALFM_C105970WA",-0.811599047011393
"CAALFM_C105980WA",-0.109379567586621
"CAALFM_C105990CA",5.4589278008077
"CAALFM_C106000WA",-0.454629964408028
"CHS7",-0.802745311887556
"RGD1",-0.048816980744839
"CAALFM_C106030CA",0.274264573880686
"RTT101",0.326459123411473
"CAALFM_C106050CA",0.315637607876749
"ACP1",0.204950989862164
"CAALFM_C106070WA",0.75331015685474
"ARC35",1.63747627997637
"CAALFM_C106090CA",-0.765963784912299
"MSI3",-0.571799358975079
"NPL4",0.345039238516759
"CAALFM_C106120CA",0.71066303879134
"HAC1",-2.21973581840757
"CAALFM_C106150WA",-0.44002293751239
"CAALFM_C106160WA",-0.820030500168013
"TLO34",3.61809534065729
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",-0.0500267228451422
"BUD16",-0.264773683556073
"CAALFM_C106220CA",-1.41065180504896
"MDM34",-0.15311458592839
"CAALFM_C106250WA",-0.317959374548778
"PGA50",0.517924007971673
"CAALFM_C106270WA",0.417357081696614
"UME6",0.0351213790400263
"CAALFM_C106300WA",0.0153119351568841
"CAALFM_C106310WA",-0.423169402422479
"CAALFM_C106320WA",-0.591712924688416
"CAALFM_C106340WA",0.232535196149183
"CAALFM_C106350WA",-0.838897210387969
"CAALFM_C106360WA",-0.530878507208872
"PBR1",-5.33975427797899
"CAALFM_C106380CA",-0.542423378415312
"CAALFM_C106390WA",1.17477432065698
"CAALFM_C106400CA",-0.266116543024269
"CAALFM_C106410WA",-0.0210276819957596
"CAALFM_C106420CA",-0.291994272033713
"CAALFM_C106430CA",-2.64048739190688
"CAALFM_C106440CA",0.00410639308572693
"RPS14B",-0.080474357279217
"RPS22A",-0.229858691724112
"CAALFM_C106470WA",0.87752143769665
"CAALFM_C106480CA",-0.250228542471469
"CAALFM_C106490CA",0.202818677897197
"CAALFM_C106500WA",1.34255991303105
"CAALFM_C106510CA",-0.364628772556931
"BPH1",4.90243250941425
"CAALFM_C106530CA",-0.210966088585256
"CAALFM_C106540CA",-0.524347300152907
"GLT1",2.18832955755382
"CAALFM_C106560WA",0.405686327379342
"ANT1",1.0831308894416
"RPS23A",0.147874888245284
"CAALFM_C106590CA",-0.234985442445551
"CAALFM_C106600WA",0.251324731226046
"HAK1",0.637224978792616
"CAALFM_C106620CA",-0.643290513618603
"CAALFM_C106630WA",-1.44084764699871
"CAALFM_C106640CA",0.966380751945421
"CAALFM_C106650WA",1.05220795172341
"CAALFM_C106660WA",1.25617152707346
"CAALFM_C106670WA",-0.592062592683904
"VPS34",1.08629460293018
"CYK3",-0.14782008356825
