"","condition_LS3_vs_ctl"
"CAALFM_C105740CA",-1.57906225485291
"CAALFM_C105750CA",-0.00373675722768955
"PGA26",2.29864595507484
"PRC3",3.13131593916909
"CAALFM_C105780WA",-0.553526533352308
"CAALFM_C105790WA",-0.286207567478292
"CAALFM_C105800CA",-0.207331547554184
"GIM5",0.123388034026315
"RAD10",-0.376328583004905
"CAALFM_C105830WA",0.0860233868592707
"PRN1",-0.488453963250547
"POL32",-1.2742691936059
"PRN2",0.0104647625003985
"PRN3",-0.0713962267775404
"PRN4",-0.0317708163108471
"CAALFM_C105890WA",0.563265763242461
"CAALFM_C105900WA",-1.15581095973437
"SIP5",0.850782195673186
"CAALFM_C105920WA",-0.713841844489172
"CAALFM_C105930CA",0.939426198304698
"PHO87",-0.271410049920796
"CAALFM_C105950CA",1.82428573921686
"PGA45",2.92117759783864
"CAALFM_C105970WA",0.632507300097241
"CAALFM_C105980WA",0.233809147074443
"CAALFM_C105990CA",5.25827250555815
"CAALFM_C106000WA",0.215929162808805
"CHS7",-0.539862532429577
"RGD1",0.0443336979417626
"CAALFM_C106030CA",0.0248375981804734
"RTT101",0.305324664292394
"CAALFM_C106050CA",0.0941630879128106
"ACP1",-0.19233763750966
"CAALFM_C106070WA",-0.287996338320206
"ARC35",1.08914125783502
"CAALFM_C106090CA",-0.503927788622551
"MSI3",-0.561281788995162
"NPL4",0.00364815235727826
"CAALFM_C106120CA",-0.400639304292075
"HAC1",0.0385461332715913
"CAALFM_C106150WA",-0.0340035516019401
"CAALFM_C106160WA",-0.195968285010988
"TLO34",4.22822846369471
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",-0.0303828549746439
"BUD16",-0.621285887287528
"CAALFM_C106220CA",-2.09965966407507
"MDM34",-0.182757445997986
"CAALFM_C106250WA",-0.844190304948312
"PGA50",0.796148416934996
"CAALFM_C106270WA",0.608926158636116
"UME6",3.52808381989555
"CAALFM_C106300WA",-0.288572419707598
"CAALFM_C106310WA",-0.747749998709308
"CAALFM_C106320WA",-0.625738355362163
"CAALFM_C106340WA",2.27318222950224
"CAALFM_C106350WA",-1.13182059681848
"CAALFM_C106360WA",-0.315331231106237
"PBR1",-4.2564334145792
"CAALFM_C106380CA",-0.149387957594244
"CAALFM_C106390WA",0.382959289304158
"CAALFM_C106400CA",-0.453515880960823
"CAALFM_C106410WA",0.196918102066847
"CAALFM_C106420CA",-0.28498344166879
"CAALFM_C106430CA",-1.97138675673837
"CAALFM_C106440CA",-0.253227132933611
"RPS14B",-0.392313537929952
"RPS22A",-0.391467652473755
"CAALFM_C106470WA",-0.158799088515543
"CAALFM_C106480CA",-0.342971688970263
"CAALFM_C106490CA",-0.757619267301801
"CAALFM_C106500WA",1.35880726132356
"CAALFM_C106510CA",-0.439511492998741
"BPH1",5.24597888555438
"CAALFM_C106530CA",-0.108276042971473
"CAALFM_C106540CA",-0.255397409972415
"GLT1",2.78731934019795
"CAALFM_C106560WA",0.580319251576698
"ANT1",0.889573741854087
"RPS23A",-0.284448340070771
"CAALFM_C106590CA",-0.281477144829919
"CAALFM_C106600WA",0.584375493980867
"HAK1",0.575896434265793
"CAALFM_C106620CA",-1.07069539300089
"CAALFM_C106630WA",-1.68466828200976
"CAALFM_C106640CA",0.628479172124612
"CAALFM_C106650WA",0.354686580967227
"CAALFM_C106660WA",3.45978953977544
