"","condition_RL30_vs_ctl"
"ZCF4",3.04610513128448
"HAP2",0.0300710298622912
"CAALFM_C107690CA",-0.00511692657572464
"VRG4",0.296215907776882
"ADE4",-0.233933552194125
"FGR6-3",0.58820697512634
"CAALFM_C107780WA",0.235998202467264
"CAALFM_C107790CA",-0.39855887395293
"MTO1",-0.0554075910955131
"CAALFM_C107810CA",0.0826539886143403
"CAALFM_C107820WA",-0.399225764339401
"CAALFM_C107830CA",-0.846814968911028
"CAALFM_C107840WA",-1.44837089861953
"CAALFM_C107850CA",-0.164533338826507
"CAALFM_C107860WA",-0.0912870352534664
"SMI1",-0.415410166752555
"GCS1",-0.335522937467481
"ADE5%2C7",-0.378761307126162
"COI1",1.20144699830677
"MRPL3",-0.505387176693843
