"","condition_RS3_vs_ctl"
"CAALFM_C105630CA",0.0628773439663375
"FAL1",0.20220894250234
"CAALFM_C105650WA",0.274958843914274
"CAALFM_C105660CA",0.0674777096818898
"CAALFM_C105670WA",-0.185622803957644
"RIM1",-0.281578167362364
"CAALFM_C105690CA",0.0498445945198836
"AUT7",0.260627290174757
"UGA4",0.653239569745186
"CAALFM_C105720WA",-0.165611845337876
"CAALFM_C105730WA",-1.14836363448917
"CAALFM_C105740CA",-0.163914795431465
"CAALFM_C105750CA",0.271528094651133
"PGA26",-0.0210419955562089
"PRC3",0.250167306915758
"CAALFM_C105780WA",0.0276298079731412
"CAALFM_C105790WA",-0.857183678150592
"CAALFM_C105800CA",-0.0535182718074765
"GIM5",-0.0672828883683956
"RAD10",-0.0327307989887185
"CAALFM_C105830WA",-0.116115890923813
"PRN1",-0.0416910294479383
"POL32",-0.217475060319588
"PRN2",0.424942812950775
"PRN3",0.211973619981222
"PRN4",0.0971536645685237
"CAALFM_C105890WA",0.0981518347691742
"CAALFM_C105900WA",0.0700409826563613
"SIP5",0.104305516427608
"CAALFM_C105920WA",2.66453871478671
"CAALFM_C105930CA",0.377833831984025
"PHO87",-0.256975074245798
"CAALFM_C105950CA",0.0772416957712177
"PGA45",-0.00833495199931698
"CAALFM_C105970WA",0.149262268095357
"CAALFM_C105980WA",0.447557905709605
"CAALFM_C105990CA",0.0608206093362543
"CAALFM_C106000WA",0.236334706499641
"CHS7",0.0713223248444244
"RGD1",-0.0220404316206048
"CAALFM_C106030CA",-0.111270337452448
"RTT101",0.10885028618685
"CAALFM_C106050CA",-0.173435552653176
"ACP1",-0.35090977239741
"CAALFM_C106070WA",-0.966982537074765
"ARC35",-0.184368228448739
"CAALFM_C106090CA",0.265479349161601
"MSI3",-0.0809265163356458
"NPL4",-0.0490482658103827
"CAALFM_C106120CA",-0.873415984130518
"HAC1",1.9655682671501
"CAALFM_C106150WA",0.0227366219185919
"CAALFM_C106160WA",0.13104461313668
"TLO34",0.11061224245901
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",0.00394235573320451
"BUD16",-0.138634846859183
"CAALFM_C106220CA",-0.0674860441526528
"MDM34",-0.0282563976444953
"CAALFM_C106250WA",-0.181241195347029
"PGA50",0.000615624970565767
"CAALFM_C106270WA",-0.0253044397600746
"UME6",3.04542002013021
"CAALFM_C106300WA",-0.297107899195355
"CAALFM_C106310WA",-0.420887925889121
"CAALFM_C106320WA",-0.0636911002973191
"CAALFM_C106340WA",4.65658314241414
"CAALFM_C106350WA",-0.0127142068508834
"CAALFM_C106360WA",0.354592442637019
"PBR1",0.412818192168119
"CAALFM_C106380CA",0.220658529513117
"CAALFM_C106390WA",-0.405488721146433
"CAALFM_C106400CA",-0.123213129389652
"CAALFM_C106410WA",0.129066115086897
"CAALFM_C106420CA",0.0428245010928879
"CAALFM_C106430CA",-0.0122052009195394
"CAALFM_C106440CA",-0.104665139727064
"RPS14B",-0.15876942993727
"RPS22A",-0.0774026460849968
"CAALFM_C106470WA",-0.868955809414159
"CAALFM_C106480CA",-0.162436210625416
"CAALFM_C106490CA",-2.05074172969368
"CAALFM_C106500WA",-0.127465483862306
"CAALFM_C106510CA",-0.173451301511784
"BPH1",0.136440187458437
"CAALFM_C106530CA",0.0862959253487436
"CAALFM_C106540CA",0.149292314693661
"GLT1",0.27069268068178
"CAALFM_C106560WA",0.0997945780568433
"ANT1",-0.0702027324135443
"RPS23A",-0.225212296667274
"CAALFM_C106590CA",-0.0509307536686141
"CAALFM_C106600WA",0.182604101537637
"HAK1",-0.040175724011268
"CAALFM_C106620CA",-0.062745274631116
"CAALFM_C106630WA",-0.216286333281519
"CAALFM_C106640CA",-0.119430253330868
"CAALFM_C106650WA",-0.5876079657245
"CAALFM_C106660WA",0.565831175377519
"CAALFM_C106670WA",0.286093351501155
"VPS34",0.290274717948266
"CYK3",0.24620476699572
"CAALFM_C106700WA",-0.0820283194738459
"CAALFM_C106710WA",-0.0868367962535593
"CAALFM_C106720CA",-0.205538917461852
"RAC1",-0.144241461190517
"NOP6",0.000981782155194209
"CAALFM_C106750WA",0.189807080253269
"CAALFM_C106760CA",0.177746722640843
"CAALFM_C106770WA",0.227731680716553
"NPR1",-0.0460473467464458
"MRPL19",-0.750326688755385
"CAALFM_C106800WA",0.142526024905228
"CAT1",-0.174952742614786
"CAALFM_C106820WA",-0.281908441451012
"CAALFM_C106830WA",-0.502602430208156
"CAALFM_C106840CA",-0.062998573889347
"PCL7",0.0575767317086553
"CAALFM_C106860WA",0.0677121989136787
"CAALFM_C106870CA",-3.31469872112753
"SPO22",-0.0752909367409028
"CAALFM_C106890CA",-0.240053631493688
"MMD1",-0.0203857048773076
"CAALFM_C106910CA",0.351710651450974
"CAALFM_C106920CA",-0.233279596040485
"PGA63",-0.104586284078862
"ATC1",0.675726232768803
"tP(AGG)1",-0.386248105871851
"SUI2",-0.0137478249258665
"CAALFM_C106970CA",-0.065389257399998
"CAALFM_C106980CA",-0.718009271840332
"tL(UAA)4",-0.010896614351302
"MEF2",-0.345189570539052
"CAALFM_C107010WA",-1.01884696226385
"PUT3",-0.00191297953060522
"RBT4",0.105582798962737
"CAALFM_C107040CA",0.0699144097986951
"CAALFM_C107050CA",0.490207001248636
"CAALFM_C107060CA",-0.345600906499839
"DHH1",-0.254307687473183
"CAALFM_C107080WA",0.482903166694277
"CAALFM_C107090CA",0.157948698311772
"CAALFM_C107100CA",0.222195434915273
"TAF145",0.0410207500070534
"GAP4",0.0455666430754001
"CAALFM_C107130CA",0.149982355486204
"RIA1",0.162176169699024
"CAALFM_C107150WA",0.24061059592875
"CAALFM_C107160CA",-0.0139823441168965
"ZCF23",-0.202466220767964
"CCS1",0.244436154530332
"SOG2",0.00101464242336527
"YMC1",-0.0807813670074468
"CAALFM_C107210CA",-0.0181657152069193
"CAALFM_C107220WA",0.449050971934492
"PHO15",0.100686665078844
"YPD1",-0.0285928198686393
"ALG9",0.123866340576168
"CAALFM_C107260CA",0.0597808966834989
"SEC34",0.0444472398800055
"CAALFM_C107280CA",-0.162132371881931
"tL(AAG)2",-1.83144864482614
"CAALFM_C107320WA",-1.86052776514917
"RME1",-1.85887538281878
"CAALFM_C107340WA",-0.0114218275161828
"GPX3",-0.0150539398877919
"CAALFM_C107360WA",-0.280184455493626
"CPH1",0.112192687778158
"KSP1",0.112022382047491
"CAALFM_C107390WA",0.0654100287009541
"CAALFM_C107400CA",-0.110118424839458
"SKP1",-0.46092218630638
"PEX3",-0.0747214247854696
"PHO100",3.11594301896247
"CAALFM_C107440WA",0.244802876223399
"CAALFM_C107450WA",-0.305422802016192
"GPI8",-0.360715961374119
"CAALFM_C107470CA",-0.169052313520752
"CAALFM_C107480CA",0.149515021830731
"CAALFM_C107490CA",-0.25653199057528
"LHP1",-0.0816941100442893
"CAALFM_C107510WA",-0.0564110462931382
"IST2",0.10696722596014
"CAALFM_C107530WA",0.0180014949255015
"BBC1",0.0196443396230588
"SWD2",0.0197407809617466
"CAALFM_C107560WA",0.0621203462658606
"CAALFM_C107570CA",0.424757564979508
"PRY1",0.0114652824339347
"CAALFM_C107590CA",0.163011586135163
"ATP7",-0.816086438420984
"CAALFM_C107610CA",-0.253832558488615
"PIR32",-0.317635156449405
"CAALFM_C107630WA",-0.210611217386081
"CAALFM_C107640CA",0.20715547472572
"CAALFM_C107650WA",1.17692468047574
"CAALFM_C107660WA",0.192160663470451
"ZCF4",0.30052598220045
"HAP2",-0.0925221914668567
"CAALFM_C107690CA",0.0706758317702284
"VRG4",-0.0663275735295166
"ADE4",0.231035703257743
"FGR6-3",0.079661236569294
"CAALFM_C107780WA",0.0419287820515722
"CAALFM_C107790CA",-0.0280016160631301
"MTO1",-0.0204209290602009
"CAALFM_C107810CA",-0.10259786990275
"CAALFM_C107820WA",0.0260624403787547
"CAALFM_C107830CA",-0.359209949190767
