"","condition_YS30_vs_ctl"
"CAALFM_C104430CA",-1.51572424399353
"CAALFM_C104440WA",NA
"FMA1",-1.13582680080034
"CAALFM_C104460CA",-0.164996900480038
"CAALFM_C104470CA",1.39533633574706
"TUS1",-0.139734779255519
"CAALFM_C104490WA",0.658817219688335
"ICL1",-0.680930089338439
"CAALFM_C104510WA",-0.612876831029906
"PHO85",-0.00645026408315261
"CAALFM_C104530CA",-0.277467646594934
"VPS16",-0.356902374501212
"ELC1",0.0229001899212686
"CAALFM_C104560WA",-0.689105257165404
"CHL4",0.58141968076685
"CAALFM_C104580CA",0.73301555865861
"CAALFM_C104590WA",3.67841912041451
"CAALFM_C104600CA",-0.610612084821805
"ATP1",-0.798443036941551
"CAALFM_C104620WA",0.0855351919984312
"CAALFM_C104630CA",0.407996896436592
"CAALFM_C104640WA",-0.900829868779427
"DUR3",0.519620327805679
"DUR1%2C2",0.561784707447281
"HAT1",0.169368245452181
"PIL1",-0.291568312944634
"CAALFM_C104690CA",0.498915521059464
"CAALFM_C104700CA",0.244933149532171
"CAALFM_C104710CA",-0.135917036327225
"CAALFM_C104720WA",0.209442319360821
"LYS21",0.161369172493752
"LPG20",-1.69197314581903
"IFE1",2.13928319928283
"SYG1",1.73715046534732
"ERG3",1.72916116151604
"CAALFM_C104780CA",0.301265741228865
"CAALFM_C104790WA",-0.0558410754399666
"CAALFM_C104800CA",0.156195100832548
"TCO89",-0.542650914202035
"CAALFM_C104820CA",0.112046906159963
"SEC21",0.634370060763766
"CAALFM_C104840CA",-0.00446843458234455
"CAALFM_C104850CA",0.436172888703973
"CAALFM_C104860WA",-0.289523435097785
"SAP7",0.687789544219852
"MRPL37",-0.23534539488082
"YBN5",0.0737440343572115
"MNN15",0.217035776603028
"CAALFM_C104910CA",-0.23630706174594
"CAALFM_C104930CA",0.717042998397324
"CAALFM_C104940CA",2.77040505980851
"RPM2",0.977763039342912
"CAALFM_C104960CA",0.0874816196033048
"CAALFM_C104970WA",-0.305419836389474
"CAALFM_C104980CA",0.620285281389652
"CAALFM_C104990CA",-0.526477999357736
"RHD1",1.60870310045883
"CAALFM_C105010CA",-0.420129684235567
"ARG2",-1.25963477187845
"PSF2",0.922166221884683
"RRP6",0.388286540679318
"REI1",0.315242423081233
"GPI7",-0.0718986232398987
