"","condition_SS30_vs_ctl"
"CAALFM_C105660CA",-0.129549044995044
"CAALFM_C105670WA",-0.404012936266597
"RIM1",-1.43626711943915
"CAALFM_C105690CA",0.46513573071996
"AUT7",0.243188997221444
"UGA4",-0.858989917453439
"CAALFM_C105720WA",-0.0140695422217619
"CAALFM_C105730WA",-0.88939369889743
"CAALFM_C105740CA",-0.0424704892833121
"CAALFM_C105750CA",0.263912915599401
"PGA26",-4.23996729884883
"PRC3",0.354029212258917
"CAALFM_C105780WA",0.185014721024901
"CAALFM_C105790WA",-0.740708576573116
"CAALFM_C105800CA",-0.257594509191641
"GIM5",-0.461090604467051
"RAD10",-0.567135265295563
"CAALFM_C105830WA",1.54762628986261
"PRN1",-1.72094725087022
"POL32",-0.00514277492425715
"PRN2",-0.120075770182708
"PRN3",0.22581631570169
"PRN4",-0.979593208105087
"CAALFM_C105890WA",9.66251762930461
"CAALFM_C105900WA",0.190293817109698
"SIP5",2.22004222416197
"CAALFM_C105920WA",0.548076081630334
"CAALFM_C105930CA",-0.349317115324507
"PHO87",-1.54068632005287
"CAALFM_C105950CA",2.04554603604023
"PGA45",1.28883456865172
"CAALFM_C105970WA",1.86848525835423
"CAALFM_C105980WA",0.348452887305735
"CAALFM_C105990CA",0.00578470112796582
"CAALFM_C106000WA",-0.510875029207778
"CHS7",0.27136819558281
"RGD1",0.249065581052045
"CAALFM_C106030CA",0.0789318524564933
"RTT101",0.22358847219046
"CAALFM_C106050CA",0.0336825463210669
"ACP1",-0.141067385860914
"CAALFM_C106070WA",-1.0433139190661
"ARC35",0.304834654501878
"CAALFM_C106090CA",-0.204174712833543
"MSI3",0.208473508802153
"NPL4",0.333358371410584
"CAALFM_C106120CA",-0.882148038203188
"HAC1",2.67260214218423
"CAALFM_C106150WA",0.87742975850572
"CAALFM_C106160WA",2.17114495023251
"TLO34",-1.35589142873849
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",-0.192562056023946
"BUD16",-0.114785898935517
"CAALFM_C106220CA",-0.885746773329062
"MDM34",2.57873217949389
"CAALFM_C106250WA",-0.434474103362852
"PGA50",-0.548919664079
"CAALFM_C106270WA",-0.126580378890967
"UME6",2.20371901350122
"CAALFM_C106300WA",-1.03534372136231
"CAALFM_C106310WA",-0.488185617842166
"CAALFM_C106320WA",0.349925297202878
"CAALFM_C106340WA",0.437159649364071
"CAALFM_C106350WA",0.877264014514626
"CAALFM_C106360WA",1.34800096030765
"PBR1",0.00658028998295226
"CAALFM_C106380CA",-0.132893835800706
"CAALFM_C106390WA",0.15689059495482
"CAALFM_C106400CA",0.0678697280654782
"CAALFM_C106410WA",0.87242607423674
"CAALFM_C106420CA",0.364829077056009
"CAALFM_C106430CA",0.933621247640363
"CAALFM_C106440CA",-1.03557013955653
"RPS14B",-0.159107745793923
"RPS22A",-0.119548722100842
"CAALFM_C106470WA",-0.878011784498836
"CAALFM_C106480CA",0.0792618133304654
"CAALFM_C106490CA",-0.770317373468077
"CAALFM_C106500WA",-1.17377102041134
"CAALFM_C106510CA",-0.539215773042363
"BPH1",0.591646683311198
"CAALFM_C106530CA",0.176836805579376
"CAALFM_C106540CA",-0.020235789534564
"GLT1",0.840431923039893
"CAALFM_C106560WA",0.744791619345591
"ANT1",5.56687296327385
"RPS23A",-0.278023913019087
"CAALFM_C106590CA",-0.183578552414564
"CAALFM_C106600WA",-0.409591155689331
"HAK1",-1.34713632676534
"CAALFM_C106620CA",-1.17217363990358
"CAALFM_C106630WA",0.558106998966516
"CAALFM_C106640CA",-0.338787952529227
"CAALFM_C106650WA",0.110926552727529
"CAALFM_C106660WA",0.453040594006829
"CAALFM_C106670WA",0.0665247319103938
"VPS34",-0.974663976620488
"CYK3",0.0383826491191978
"CAALFM_C106700WA",-0.518369951692285
"CAALFM_C106710WA",0.0722696257329908
"CAALFM_C106720CA",-0.84770183687769
"RAC1",0.581552954765789
"NOP6",-0.411593733208483
"CAALFM_C106750WA",-1.58477275202695
"CAALFM_C106760CA",-0.160664346532213
"CAALFM_C106770WA",-0.274822175103135
"NPR1",1.04053000166519
"MRPL19",-0.987734330653065
"CAALFM_C106800WA",0.0741335182850605
"CAT1",4.56780786970435
"CAALFM_C106820WA",-0.366370794860684
"CAALFM_C106830WA",-0.593342180879282
"CAALFM_C106840CA",0.0637748770776871
"PCL7",0.690698752149556
"CAALFM_C106860WA",7.07049987511245
"CAALFM_C106870CA",0.1173606902507
"SPO22",-0.155594651151188
"CAALFM_C106890CA",-0.357395307237293
"MMD1",-1.92356220538967
"CAALFM_C106910CA",-0.188070039242219
"CAALFM_C106920CA",1.4474137950903
"PGA63",0.256163121397937
"ATC1",1.63897186153906
